subject,overall (rmse),< 70 (rmse),70 - 180 (rmse),> 180 (rmse),overall (mae),< 70 (mae),70 - 180 (mae),> 180 (mae),CEG_zoneA,CEG_zoneB,CEG_zoneC,CEG_zoneD,CEG_zoneE
Dexcom_008,34.581910882586115,50.9669091492624,34.37015185811821,,24.361670871498767,38.84328490617291,24.21082072530424,,60.41237113402062,38.8041237113402,0.4123711340206186,0.3711340206185567,0.0
Dexcom_009,33.63265680480418,,30.415423150897578,75.44190957353199,22.634292921965887,,20.9017472235083,60.97780428884036,70.78602620087337,28.296943231441045,0.9170305676855894,0.0,0.0
Dexcom_002,43.76340129238465,,43.3189716810991,67.5936491779913,31.725090077276818,,31.272715420892318,62.74291235004078,54.19262098706277,44.178246286535696,1.6291327264015332,0.0,0.0
Dexcom_016,41.06863817271043,,41.06863817271043,,29.146927761028635,,29.146927761028635,,51.41318977119784,46.07447285778376,2.512337371018394,0.0,0.0
Dexcom_003,34.62439296473704,53.83239648206879,34.187655850076474,59.31139991656884,21.936765693874364,48.71242185424672,21.49989115472168,53.91751578714998,67.22466960352423,30.792951541850222,1.5859030837004406,0.39647577092511016,0.0
Dexcom_015,25.671416846061742,63.010906392470766,25.38803972847579,,18.022092483677042,55.25833333333334,17.859387311425113,,70.60285891858297,28.899937849596025,0.2486016159105034,0.2486016159105034,0.0
Dexcom_001,32.491839816735,98.19239233688285,31.85569154357953,,21.243946361580484,82.37811165839872,20.952484310105785,,65.99446421510478,32.819296164491895,0.7117437722419928,0.3163305654408857,0.15816528272044286
Dexcom_014,39.85686047166138,,39.02445123780638,83.25546543359367,26.538304658847746,,25.922091349375542,76.67980987775269,61.01618705035972,36.555755395683455,2.4280575539568345,0.0,0.0
Dexcom_010,45.0734157670889,77.51168595324988,41.25947396985426,86.34322557655545,30.647974818604418,61.23437304684148,28.122982687823715,72.20367217797107,55.14285714285714,41.42857142857143,2.619047619047619,0.7619047619047619,0.047619047619047616
Dexcom_004,31.64280105836253,27.009897263658143,31.232308383856957,70.54204567726595,21.941923828955098,24.426029872728147,21.62111995358006,69.67356442665007,65.29080675422139,33.771106941838646,0.7504690431519699,0.18761726078799248,0.0
Dexcom_005,27.68697780796207,,27.65144392292364,75.70799996051605,18.03579347787422,,18.012953000059312,75.70799996051605,72.0110847189232,27.157561361836898,0.831353919239905,0.0,0.0
Dexcom_011,35.44467009729824,,34.022158466010815,74.44157307079332,24.1668970131563,,23.27180729507949,62.98253367642356,63.72093023255814,35.27728085867621,1.001788908765653,0.0,0.0
Dexcom_007,28.447934756110694,29.500763621304056,28.131947934041527,65.81734685243114,18.531704038318303,22.200709470648903,18.195375650508574,59.86643492758516,64.27586206896552,32.781609195402304,0.6896551724137931,2.2528735632183907,0.0
Dexcom_013,42.558048673747976,,39.35142030553868,102.16646934242002,26.033671319212374,,24.104962240038383,89.38178848863404,67.70249617931738,30.005094243504836,2.1395822720326034,0.0,0.15282730514518594
Dexcom_012,36.84441749637704,,36.28226998753084,65.74919088412925,23.787085775722943,,23.353519572988105,55.06365460749093,69.4012258368694,28.995756718528998,1.603017444601603,0.0,0.0
Dexcom_006,36.834327184177006,,32.30321391919717,72.8511047623604,24.305277198362344,,21.54515182853456,59.112050491911724,67.50264924055104,30.76651359943483,1.6248675379724478,0.0,0.1059696220416814
