subject,overall (rmse),< 70 (rmse),70 - 180 (rmse),> 180 (rmse),overall (mae),< 70 (mae),70 - 180 (mae),> 180 (mae),CEG_zoneA,CEG_zoneB,CEG_zoneC,CEG_zoneD,CEG_zoneE
Dexcom_008,37.85651175542097,68.46697876174532,37.418862751858974,,27.059619780783173,61.09729983768324,26.715079788642473,,57.118997912317326,41.21085594989562,1.0438413361169103,0.6263048016701461,0.0
Dexcom_009,41.82988112307198,,39.49148242942712,77.1151326461498,28.21620641743468,,26.548275464181323,65.0286219008547,61.86514886164623,35.90192644483363,2.23292469352014,0.0,0.0
Dexcom_002,48.26698578691929,,48.01041849779903,63.352425951527046,35.29478812987147,,35.01239794734716,54.54438557194542,50.65060240963856,46.69879518072289,2.6506024096385543,0.0,0.0
Dexcom_016,46.22645873587496,,46.22645873587496,,33.03175125271234,,33.03175125271234,,45.047489823609226,51.424694708276796,3.5278154681139755,0.0,0.0
Dexcom_003,42.103832191239775,83.91806869954428,41.35327542033827,71.5848296553828,26.58387440433472,71.60107437616827,25.92942280626841,69.96703029989249,61.16031886625333,35.8281665190434,2.3914968999114263,0.48715677590788303,0.1328609388839681
Dexcom_015,29.316478312588565,18.590041557029263,29.355330159223033,,20.785798305881986,16.164559884559882,20.80629809609064,,64.35331230283911,35.14195583596214,0.31545741324921134,0.1892744479495268,0.0
Dexcom_001,33.65190836821177,45.230374617091314,33.58683782763693,,22.909360838893445,33.38328196067427,22.859186366453773,,62.29638458482321,36.51172030194676,0.7945967421533572,0.3972983710766786,0.0
Dexcom_014,46.71054082676318,,46.15639854999927,79.73631434203806,30.8616988760548,,30.295302243475223,76.82373672723452,57.123534715960325,39.404869251578,3.4715960324616777,0.0,0.0
Dexcom_010,57.62923533953166,75.20913624553613,53.633995853570696,108.10775903143715,39.31112441512147,63.5571497360413,36.31202105239566,92.59450719353971,46.54178674351585,47.262247838616716,4.5629202689721415,1.344860710854947,0.2881844380403458
Dexcom_004,36.53887312055047,19.441073507917928,36.35286052039023,60.36812225584547,25.07095253825666,18.45183100771111,24.85062173993376,60.04322569518008,59.528301886792455,38.820754716981135,1.4622641509433962,0.18867924528301888,0.0
Dexcom_005,32.446647014569216,,32.42059117962263,72.80235053027005,20.597436336766595,,20.576662395583345,72.80235053027005,67.66109785202865,30.628480509148766,1.7104216388225937,0.0,0.0
Dexcom_011,44.1092021040799,,42.35203926821642,92.14400691816492,30.64869175270217,,29.40238343316888,84.33886285132675,53.25891249549875,44.724522866402594,2.0165646380986675,0.0,0.0
Dexcom_007,35.392696214736965,39.38565423917202,34.46901875196542,114.48113538143495,23.16633900627174,30.66966756989164,22.45285928137557,112.67071564498478,58.52981969486824,37.35552473416551,1.6643550624133148,2.4503005085529357,0.0
Dexcom_013,51.637713059307266,,50.26491333701354,85.12759293701077,32.580347699080065,,31.228147989261437,76.85323130158982,59.42769545222279,36.433316300459886,4.1389882473173225,0.0,0.0
Dexcom_012,42.74907294511984,,42.23447551562022,70.39245561582294,27.793050112757246,,27.30875386045444,62.42858208779201,65.43033761293391,31.62149310508797,2.948169281978126,0.0,0.0
Dexcom_006,45.121546109737885,,39.84088585053486,87.64042897032532,30.63609379682858,,27.200902791600914,73.85674216548627,58.26548672566372,38.97345132743363,2.7256637168141595,0.0,0.035398230088495575
